UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,install_date,idle_time,cycle_time,failure_type
170086,W7890,H,316.1,329.8,1630,57.6,190,0,0,0,0,0,0,1/24/2022,79,611.29,No Failure
170087,X0123,L,302.6,315.4,2230,40.5,25,0,0,0,0,0,0,6/18/2021,22,537.46,No Failure
170088,Y3456,M,298.4,311.2,2740,63.7,135,1,0,0,1,0,0,10/4/2022,103,679.58,PWF
170089,Z6789,H,289.9,302.6,1870,46.2,255,1,1,0,0,0,0,4/15/2021,173,455.72,TWF
170090,A9012,L,313.7,327.5,1410,71.9,120,1,0,1,0,0,0,9/9/2022,188,663.48,HDF
170091,B2345,M,293.4,306.1,2560,39.4,75,0,0,0,0,0,0,2/26/2021,41,594.33,No Failure
170092,C5678,H,305.3,318.9,2090,54.1,150,0,0,0,0,0,0,7/7/2022,70,622.74,No Failure
170093,D8901,L,286.7,299.5,2350,48.5,40,0,0,0,0,0,0,12/22/2021,28,552.91,No Failure
170094,E1234,M,310.2,323.8,1710,65.8,180,1,0,0,1,0,0,5/16/2022,122,687.36,PWF
170095,F4567,H,297.9,310.7,2900,35.2,95,1,0,0,1,0,0,1/8/2021,108,708.43,PWF
170096,G7890,L,304.9,318.5,1580,59.5,220,1,1,0,0,0,0,8/21/2022,162,467.89,TWF
170097,H0123,M,291.6,304.4,2490,43.7,15,0,0,0,0,0,0,3/30/2021,17,576.15,No Failure
170098,I3456,H,318.5,332.4,1340,68.9,200,1,0,1,0,0,0,11/2/2022,197,679.92,HDF
170099,J6789,L,296.3,309.2,2690,38.5,65,0,0,0,0,0,0,6/24/2021,47,538.74,No Failure
170100,K7890,M,311.8,325.7,1970,72.4,130,1,0,0,1,0,0,9/16/2022,116,690.53,PWF
170101,L1234,H,288.7,301.5,3020,37.1,245,1,0,0,1,0,0,4/9/2021,148,716.38,PWF
170102,M4567,L,300.9,314.3,1660,46.8,190,0,0,0,0,0,0,12/14/2022,75,557.69,No Failure
170103,N7890,M,294.6,307.5,2800,53.6,105,0,0,0,0,0,0,2/7/2021,56,635.27,No Failure
170104,O0123,H,307.4,321.6,1510,61.7,175,1,0,1,0,0,0,7/29/2022,184,676.94,HDF
170105,P3456,L,285.1,297.9,2440,42.4,30,0,0,0,0,0,0,5/23/2021,36,544.52,No Failure
170106,Q6789,M,316.8,330.7,1290,70.2,210,1,1,0,0,0,0,10/9/2022,170,448.61,TWF
170107,R9012,H,292.5,305.3,2670,40.9,140,0,0,0,0,0,0,3/14/2021,66,608.83,No Failure
170108,S2345,L,309.3,323.1,1840,55.8,85,0,0,0,0,0,0,8/4/2022,51,587.46,No Failure
170109,T5678,M,299.8,312.7,2180,47.6,205,1,1,0,0,0,0,11/28/2021,152,474.39,TWF
170110,U6789,H,287.4,300.2,3080,34.5,115,0,0,0,0,0,0,1/13/2022,84,649.17,No Failure
170111,V1234,L,314.5,328.3,1440,64.3,250,1,0,1,0,0,0,6/6/2021,193,683.25,HDF
170112,W4567,M,295.2,308.1,2600,49.4,45,0,0,0,0,0,0,9/27/2022,25,561.88,No Failure
170113,X7890,H,303.8,317.4,1950,57.2,160,0,0,0,0,0,0,4/19/2021,74,618.63,No Failure
170114,Y0123,L,317.3,331.2,1360,68.5,130,1,0,0,1,0,0,2/3/2022,130,695.47,PWF
170115,Z3456,M,289.2,302.1,2710,39.7,70,0,0,0,0,0,0,7/17/2022,43,590.25,No Failure
170116,A6789,H,310.9,324.8,1620,66.1,225,1,1,0,0,0,0,10/25/2021,165,459.83,TWF
170117,B9012,L,297.6,310.5,2450,44.2,95,0,0,0,0,0,0,5/12/2022,59,573.16,No Failure
170118,C2345,M,306.7,320.4,1770,52.3,185,0,0,0,0,0,0,12/9/2021,82,604.79,No Failure
170119,D5678,H,284.6,297.4,2930,36.2,235,1,0,0,1,0,0,3/2/2022,145,722.54,PWF
170120,E8901,L,319.1,332.9,1400,71.4,195,1,0,1,0,0,0,8/13/2021,190,671.33,HDF
170121,F1234,M,291.8,304.6,2610,41.5,55,0,0,0,0,0,0,11/5/2022,30,542.98,No Failure
170122,G4567,H,308.6,322.3,1560,63.9,125,0,0,0,0,0,0,1/29/2021,68,628.44,No Failure
170123,H7890,L,301.4,314.8,2290,48.7,215,1,1,0,0,0,0,6/14/2022,157,452.76,TWF
170124,I8901,M,288.9,301.7,2820,45.3,15,0,0,0,0,0,0,9/8/2021,33,581.63,No Failure
170125,J2345,H,315.9,329.8,1480,67.7,170,1,0,1,0,0,0,4/2/2022,185,684.19,HDF
170126,K5678,L,293.5,306.4,2500,37.9,80,0,0,0,0,0,0,10/19/2021,49,597.52,No Failure
170127,L6789,M,304.7,318.5,1900,59.4,145,0,0,0,0,0,0,2/16/2022,76,614.88,No Failure
170128,M1234,H,311.2,325.1,1670,62.8,240,1,1,0,0,0,0,7/25/2021,168,463.17,TWF
170129,N4567,L,286.3,299.2,2720,40.2,35,0,0,0,0,0,0,12/6/2022,24,549.86,No Failure
170130,O7890,M,300.6,314.3,2130,55.5,110,0,0,0,0,0,0,5/30/2021,63,625.49,No Failure
170131,P0123,H,318.7,332.9,1330,70.8,205,1,0,1,0,0,0,9/17/2022,198,678.32,HDF
170132,Q3456,L,292.8,305.7,2590,38.3,90,0,0,0,0,0,0,3/11/2021,50,569.74,No Failure
170133,R6789,M,307.3,321.2,1840,56.9,160,0,0,0,0,0,0,11/23/2022,86,604.15,No Failure
170134,S9012,H,284.7,297.6,2970,35.1,230,1,0,0,1,0,0,1/18/2021,136,709.68,PWF
170135,T2345,L,316.2,330.1,1420,69.2,190,1,0,0,1,0,0,8/7/2022,127,688.54,PWF
170136,U5678,M,295.8,308.7,2640,43.8,65,0,0,0,0,0,0,4/13/2021,39,592.77,No Failure
170137,V6789,H,309.7,323.6,1580,64.5,185,0,0,0,0,0,0,10/31/2022,73,636.42,No Failure
170138,W1234,L,302.3,315.9,2260,46.1,125,0,0,0,0,0,0,6/21/2021,55,558.29,No Failure
170139,X4567,M,288.1,300.9,2750,50.8,220,1,1,0,0,0,0,2/9/2022,150,471.35,TWF
170140,Y7890,H,313.4,327.2,1510,61.9,140,0,0,0,0,0,0,9/3/2021,78,612.87,No Failure
170141,Z0123,L,296.4,309.3,2460,42.6,35,0,0,0,0,0,0,5/27/2022,31,560.48,No Failure
170142,A3456,M,305.9,319.8,1930,53.2,105,0,0,0,0,0,0,12/12/2021,67,629.93,No Failure
170143,B6789,H,291.3,304.2,2990,37.4,255,1,0,0,1,0,0,3/20/2022,143,718.37,PWF
170144,C8901,L,318.2,332.1,1380,72.3,210,1,1,0,0,0,0,7/15/2021,174,445.86,TWF
170145,D1234,M,285.9,298.8,2680,44.5,45,0,0,0,0,0,0,10/8/2022,27,576.53,No Failure
170146,E4567,H,310.1,323.9,1650,58.7,170,1,0,1,0,0,0,4/2/2021,191,672.41,HDF
170147,F7890,L,294.7,307.6,2400,41.2,80,0,0,0,0,0,0,11/18/2022,46,543.69,No Failure
170148,G0123,M,303.5,317.3,2030,60.9,150,0,0,0,0,0,0,1/25/2021,87,618.47,No Failure
170149,H3456,H,308.4,322.2,1730,66.4,230,1,1,0,0,0,0,8/29/2022,163,460.92,TWF
170150,I6789,L,289.6,302.5,2830,39.1,25,0,0,0,0,0,0,6/12/2021,21,555.88,No Failure
170151,J7890,M,314.3,328.1,1470,63.7,115,0,0,0,0,0,0,2/23/2022,69,639.75,No Failure
170152,K1234,H,297.2,310.4,2850,35.8,205,1,0,0,1,0,0,9/14/2021,115,705.42,PWF
170153,L4567,L,305.7,319.6,1610,55.3,195,1,0,1,0,0,0,5/8/2022,188,681.67,HDF
170154,M7890,M,292.9,305.8,2560,47.5,70,0,0,0,0,0,0,12/1/2021,52,596.34,No Failure
170155,N0123,H,319.5,333.4,1350,68.9,240,1,1,0,0,0,0,7/19/2022,172,453.28,TWF
170156,O3456,L,286.4,299.3,2700,40.8,50,0,0,0,0,0,0,3/27/2021,34,563.81,No Failure
170157,P6789,M,307.8,321.7,1880,52.6,130,0,0,0,0,0,0,10/17/2022,77,622.96,No Failure
170158,Q9012,H,298.5,311.9,2600,62.3,185,1,0,0,1,0,0,4/29/2021,125,696.34,PWF
170159,R2345,L,311.3,325.2,1450,70.5,100,1,0,1,0,0,0,8/12/2022,197,674.58,HDF
170160,S5678,M,288.6,301.5,2770,38.2,90,0,0,0,0,0,0,11/8/2021,48,585.92,No Failure
170161,T6789,H,316.7,330.6,1520,65.8,215,1,1,0,0,0,0,6/3/2022,160,464.37,TWF
170162,U1234,L,295.4,308.3,2480,44.9,15,0,0,0,0,0,0,1/15/2021,26,548.79,No Failure
170163,V4567,M,304.2,318.1,1990,51.4,155,0,0,0,0,0,0,9/26/2022,83,615.43,No Failure
170164,W7890,H,291.8,304.7,3010,33.6,230,1,0,0,1,0,0,5/18/2021,137,720.91,PWF
170165,X0123,L,317.4,331.3,1390,69.1,125,0,0,0,0,0,0,12/28/2022,71,553.47,No Failure
170166,Y3456,M,289.5,302.4,2650,46.3,60,0,0,0,0,0,0,3/9/2021,40,589.66,No Failure
170167,Z6789,H,310.6,324.5,1700,59.6,200,1,1,0,0,0,0,7/31/2022,153,466.81,TWF
170168,A7890,L,301.8,315.7,2220,41.9,85,0,0,0,0,0,0,10/14/2021,56,572.33,No Failure
170169,B1234,M,308.9,322.8,1810,57.3,145,0,0,0,0,0,0,2/17/2022,79,608.72,No Failure
170170,C4567,H,287.3,300.2,2940,38.8,170,0,0,0,0,0,0,8/23/2021,95,647.85,No Failure
170171,D7890,L,312.6,326.5,1430,67.4,235,1,0,1,0,0,0,4/10/2022,192,682.39,HDF
170172,E0123,M,296.1,309.1,2580,42.7,35,0,0,0,0,0,0,11/29/2022,29,564.17,No Failure
170173,F3456,H,306.4,320.3,1640,63.2,190,1,0,0,1,0,0,6/17/2021,119,691.45,PWF
170174,G6789,L,293.2,306.2,2710,49.1,105,0,0,0,0,0,0,9/9/2022,65,594.83,No Failure
170175,H9012,M,315.1,329.1,1540,71.6,220,1,1,0,0,0,0,1/2/2022,167,455.19,TWF
170176,I2345,H,289.9,302.9,2910,35.4,80,0,0,0,0,0,0,5/25/2021,44,576.28,No Failure
170177,J5678,L,300.3,314.3,2330,45.8,135,0,0,0,0,0,0,12/19/2022,72,601.56,No Failure
170178,K6789,M,309.5,323.5,1780,54.2,200,1,1,0,0,0,0,3/4/2021,161,476.74,TWF
170179,L1234,H,285.7,298.7,3080,32.9,240,1,0,0,1,0,0,8/16/2022,134,724.67,PWF
170180,M4567,L,318.9,332.9,1370,70.8,195,1,0,1,0,0,0,10/31/2021,199,675.23,HDF
170181,N7890,M,292.4,305.4,2640,40.7,25,0,0,0,0,0,0,2/11/2022,23,554.96,No Failure
170182,O0123,H,310.3,324.3,1590,65.5,165,0,0,0,0,0,0,7/9/2021,81,629.38,No Failure
170183,P3456,L,299.1,312.5,2410,48.4,230,1,1,0,0,0,0,5/5/2022,157,467.42,TWF
170184,Q6789,M,307.6,321.6,1870,53.9,95,0,0,0,0,0,0,11/13/2021,62,619.55,No Failure
170185,R7890,H,295.3,308.7,2810,36.9,140,0,0,0,0,0,0,1/20/2022,88,600.14,No Failure
170186,S1234,L,314.7,328.7,1410,68.2,210,1,0,1,0,0,0,9/28/2022,186,687.69,HDF
170187,T4567,M,288.2,301.6,2690,44.7,75,0,0,0,0,0,0,4/18/2021,47,582.43,No Failure
170188,U7890,H,305.8,319.8,1920,58.1,185,0,0,0,0,0,0,12/5/2022,74,616.87,No Failure
170189,V0123,L,297.5,310.9,2520,42.3,50,0,0,0,0,0,0,6/29/2021,38,571.25,No Failure
170190,W3456,M,311.7,325.7,1680,60.2,225,1,1,0,0,0,0,3/16/2022,159,462.64,TWF
170191,X6789,H,290.6,304.0,2980,34.8,115,0,0,0,0,0,0,10/22/2021,59,606.93,No Failure
170192,Y9012,L,316.4,330.4,1460,69.9,130,1,0,0,1,0,0,8/5/2022,131,693.27,PWF
170193,Z2345,M,293.8,307.2,2730,46.5,160,0,0,0,0,0,0,2/19/2021,91,595.78,No Failure
170194,A5678,H,309.0,323.0,1570,64.1,255,1,1,0,0,0,0,7/1/2022,176,457.93,TWF
170195,B8901,L,300.7,314.1,2360,43.5,40,0,0,0,0,0,0,9/13/2021,32,551.46,No Failure
170196,C1234,M,304.9,318.9,1960,56.8,110,0,0,0,0,0,0,5/19/2022,68,627.62,No Failure
170197,D4567,H,286.9,300.3,2890,37.2,175,0,0,0,0,0,0,11/25/2021,85,643.19,No Failure
170198,E7890,L,315.5,329.5,1440,72.5,205,1,0,1,0,0,0,3/8/2022,195,673.46,HDF
170199,F0123,M,298.2,311.6,2660,41.8,90,0,0,0,0,0,0,12/17/2022,45,588.73,No Failure
